DATE;PARCELLE;CARRE;NUMERO;NOM VERNACULAIRE;GENRE;ESPECE;HAUTEUR;DBH;PLACEAU;
06/03/2018;2 ouest;198;79;Drypetes;Drypetes;cinnabarina;5,1;8,3;1;
06/03/2018;2 ouest;198;80;Drypetes;Drypetes;laciniata;4,5;3;1;
06/03/2018;2 ouest;198;81;Ingoka;Thomondersia;hensii;2,6;4,7;1;
06/03/2018;2 ouest;198;82a;Ingoka;Thomondersia;hensii;5,1;4,6;1;
06/03/2018;2 ouest;198;82b;Ingoka;Thomondersia;hensii;5;4,2;1;
06/03/2018;2 ouest;198;83;Motunga;Polyalthia;suaveolens;2,5;1;1;
06/03/2018;2 ouest;198;84;;Heisteria;pavifolia;2,9;1,2;1;
06/03/2018;2 ouest;198;85;Garcinia;Garcinia;punctata;2,5;2,2;1;
06/03/2018;2 ouest;198;86;Grewia;Grewia;pinnatifida;3,5;2,9;1;
06/03/2018;2 ouest;198;87a;;Aidia;macrantha;2,5;2,3;1;
06/03/2018;2 ouest;198;87b;;Aidia;macrantha;2,5;2,2;1;
06/03/2018;2 ouest;198;88;Grewia;Grewia;pinnatifida;3,5;1,3;1;
06/03/2018;2 ouest;198;89a;Mossebe;Hunteria;ballayi;2,5;1,7;1;
06/03/2018;2 ouest;198;89b;Mossebe;Hunteria;ballayi;2,5;1,1;1;
06/03/2018;2 ouest;198;90;Ebene;Diospyros;iturensis;4,5;2,1;1;
06/03/2018;2 ouest;198;91;Ebene;Diospyros;iturensis;2,5;1,1;1;
06/03/2018;2 ouest;198;92;Moungamba;Dichostemma;glauscescens;4,5;2,8;1;
06/03/2018;2 ouest;198;93;Mokula;Microdesmis;puberula;3,5;2,1;1;
06/03/2018;2 ouest;198;94;Garcinia;Garcinia;punctata;6,2;3,5;1;
06/03/2018;2 ouest;198;95;Mokula;Microdesmis;puberula;2,6;1,3;1;
06/03/2018;2 ouest;198;96;;Radlkofera;calodendron;3,6;2;1;
06/03/2018;2 ouest;198;97;Ebene;Diospyros;iturensis;11;9,6;1;
06/03/2018;2 ouest;198;98;Mossebe;Hunteria;ballayi;1,5;2,1;1;
06/03/2018;2 ouest;198;99;Mossebe;Hunteria;ballayi;2,5;1,7;1;
06/03/2018;2 ouest;198;100;Mossebe;Hunteria;ballayi;2,5;1,5;1;
06/03/2018;2 ouest;198;101;Drypetes;Drypetes;capillipes;6;5,7;1;
06/03/2018;2 ouest;198;102;Akeul;Pausynistalia;macroceras;2,7;1,6;1;
06/03/2018;2 ouest;198;103;Mossebe;Hunteria;ballayi;2;1,2;1;
06/03/2018;2 ouest;198;104;Pancovia;pancovia;harsiana;5,2;2,8;1;
06/03/2018;2 ouest;198;105;Ebene;Diospyros;iturensis;9,5;8,3;1;
06/03/2018;2 ouest;198;106;Ohia;Celtis;mildbraedii;5;3,9;1;
06/03/2018;2 ouest;198;107;Ebene;Diospyros;bipindensis;1,8;1,7;1;
06/03/2018;2 ouest;198;108;Pancovia;pancovia;macrobotrys;2,9;1,9;1;
06/03/2018;2 ouest;198;109;Garcinia;Garcinia;punctata;2,5;1,3;1;
06/03/2018;2 ouest;198;110a;Mokula;Microdesmis;puberula;3,5;1,8;1;
06/03/2018;2 ouest;198;110b;Mokula;Microdesmis;puberula;1,8;2;1;
06/03/2018;2 ouest;198;111;Drypetes;Drypetes;cinnabarina;5,1;5,6;1;
06/03/2018;2 ouest;198;112;Crabwood;Carapa;procera;3,5;2,5;1;
06/03/2018;2 ouest;198;113;Mokula;Microdesmis;puberula;3,9;2,3;1;
06/03/2018;2 ouest;198;114;Drypetes;Drypetes;capillipes;2,6;2,9;1;
06/03/2018;2 ouest;198;115a;Mossebe;Hunteria;ballayi;2,6;2;1;
06/03/2018;2 ouest;198;115b;Mossebe;Hunteria;ballayi;1,9;1;1;
06/03/2018;2 ouest;198;116;;Heisteria;pavifolia;4,5;2,3;1;
06/03/2018;2 ouest;198;117;Ebene;Diospyros;iturensis;3;1,5;1;
06/03/2018;2 ouest;198;118;Moungamba;Dichostemma;glauscescens;2,9;1,1;1;
06/03/2018;2 ouest;198;119;Drypetes;Drypetes;cinnabarina;6,7;4,9;1;
06/03/2018;2 ouest;198;120;Mossebe;Hunteria;ballayi;2,6;2,2;1;
06/03/2018;2 ouest;198;121;Pancovia;pancovia;harsiana;3,5;1,9;1;
06/03/2018;2 ouest;198;122;;Aidia;macrantha;2,5;1,5;1;
06/03/2018;2 ouest;198;123;Drypetes;Drypetes;laciniata;3;1,6;1;
06/03/2018;2 ouest;198;124;Toko loko ;Tabernaemonthana;penduliflora;6,3;6,8;1;
06/03/2018;2 ouest;198;125;Mokula;Microdesmis;puberula;3,5;1,8;1;
06/03/2018;2 ouest;198;126;Ebom;Amonidium;mannii;4,5;2,7;1;
06/03/2018;2 ouest;198;127;Drypetes;Drypetes;leonensis;3,5;1,7;1;
06/03/2018;2 ouest;198;128;Mossebe;Hunteria;ballayi;2;1,8;1;
06/03/2018;2 ouest;198;129;Toko loko ;Tabernaemonthana;penduliflora;3,5;3,5;1;
06/03/2018;2 ouest;198;130a;Mossebe;Hunteria;ballayi;4;3;1;
06/03/2018;2 ouest;198;130b;Mossebe;Hunteria;ballayi;2;1,2;1;
06/03/2018;2 ouest;198;131;Mossebe;Hunteria;ballayi;2,9;1,8;1;
06/03/2018;2 ouest;198;132;Kossipo;Entandrophargma;candollei;5,2;4,1;1;
06/03/2018;2 ouest;198;133;Drypetes;Drypetes;iturensis;5;4,1;1;
06/03/2018;2 ouest;198;134;Afina;Stombosia;pustulata;5;4,2;1;
06/03/2018;2 ouest;198;135;Bekoa bizombo;Angylocalyx;pynaertii;4;2,9;1;
06/03/2018;2 ouest;198;136;Toko loko ;Tabernaemonthana;penduliflora;3,9;2;1;
06/03/2018;2 ouest;198;137;Mossebe;Hunteria;ballayi;2,5;1;1;
06/03/2018;2 ouest;198;138;Mossebe;Hunteria;ballayi;3,5;2,5;1;
06/03/2018;2 ouest;198;139;Ebene;Diospyros;iturensis;4,9;3,2;1;
06/03/2018;2 ouest;198;140;Ebene;Diospyros;iturensis;4,9;3,2;1;
06/03/2018;2 ouest;198;141;Mokula;Microdesmis;puberula;3,5;3,2;1;
06/03/2018;2 ouest;198;142;Afrostyrax;Afriostyrax;lepidophyllus;5,2;4,5;1;
06/03/2018;2 ouest;198;143;Moungamba;Dichostemma;glauscescens;5,3;2,9;1;
06/03/2018;2 ouest;198;144;Bekoa bizombo;Angylocalyx;pynaertii;2,6;1,2;1;
06/03/2018;2 ouest;198;145;Moungamba;Dichostemma;glauscescens;2;1,9;1;
06/03/2018;2 ouest;198;146;Ebene;Diospyros;iturensis;4,7;3,1;1;
07/03/2018;2 ouest;198;147;Mossebe;Hunteria;ballayi;2,9;2,8;1;
07/03/2018;2 ouest;198;148;Mossebe;Hunteria;ballayi;2;1;1;
07/03/2018;2 ouest;198;149;;Cassipourea;sp;4,5;2,5;1;
07/03/2018;2 ouest;198;150;Ingoka;Thomondersia;hensii;6,7;6,6;1;
07/03/2018;2 ouest;198;151;Mossebe;Hunteria;ballayi;4,2;3,2;1;
07/03/2018;2 ouest;198;152;Wamba;Tessmannia;africana;2;1;1;
07/03/2018;2 ouest;198;153;Moungamba;Dichostemma;glauscescens;3,5;1,6;1;
07/03/2018;2 ouest;198;154;Garcinia;Garcinia;punctata;2,8;1,4;1;
07/03/2018;2 ouest;198;155a;Ingoka;Thomondersia;hensii;6,5;5,7;1;
07/03/2018;2 ouest;198;155b;Ingoka;Thomondersia;hensii;6;6;1;
07/03/2018;2 ouest;198;156;Mossebe;Hunteria;ballayi;2,5;1,2;1;
07/03/2018;2 ouest;198;157;Mossebe;Hunteria;ballayi;2;1,6;1;
07/03/2018;2 ouest;198;158;Mossebe;Hunteria;ballayi;2;3,8;1;
07/03/2018;2 ouest;198;159a;Ingoka;Thomondersia;hensii;4,9;3,4;1;
07/03/2018;2 ouest;198;159b;Ingoka;Thomondersia;hensii;4,5;1,9;1;
07/03/2018;2 ouest;198;160;Moungamba;Dichostemma;glauscescens;3,9;1,7;1;
07/03/2018;2 ouest;198;161;Toko loko ;Tabernaemonthana;penduliflora;4,5;2,2;1;
07/03/2018;2 ouest;198;162;Albizia;Albizia;adianthifolia;4,5;1,8;1;
07/03/2018;2 ouest;198;163;Ingoka;Thomondersia;hensii;5,1;5,6;1;
07/03/2018;2 ouest;198;164;Ebene;Diospyros;bipindensis;4,5;3,5;1;
07/03/2018;2 ouest;198;165;Ebene;Diospyros;iturensis;2,7;1,7;1;
07/03/2018;2 ouest;198;166;Mokula;Microdesmis;puberula;3;1,5;1;
07/03/2018;2 ouest;198;167;Drypetes;Drypetes;laciniata;3;1,3;1;
07/03/2018;2 ouest;198;168a;;Aidia;sp;2,5;1,6;1;
07/03/2018;2 ouest;198;168b;;Aidia;sp;2,5;1,2;1;
07/03/2018;2 ouest;198;169;Bazoa rouge;Stombosia;grandifolia;8;8,1;1;
07/03/2018;2 ouest;198;170;Mossebe;Hunteria;ballayi;2,5;1,7;1;
07/03/2018;2 ouest;198;171;Mossebe;Hunteria;ballayi;2,5;2,2;1;
07/03/2018;2 ouest;198;172;Grewia;Grewia;pinnatifida;2,5;1,3;1;
07/03/2018;2 ouest;198;173;Dibetou;Lovoa;trichilioides;2,6;1,1;1;
07/03/2018;2 ouest;198;174;Drypetes;Drypetes;diopa;3,5;2,3;1;
07/03/2018;2 ouest;198;175;Ebene;Diospyros;iturensis;3,5;1,9;1;
07/03/2018;2 ouest;198;176;Drypetes;Drypetes;occidentalis;3,5;2,3;1;
07/03/2018;2 ouest;198;177;Baku;Ritchiea;aprevaliana;2,6;1,4;1;
07/03/2018;2 ouest;198;178;Mossebe;Hunteria;ballayi;3,7;2,3;1;
07/03/2018;2 ouest;198;179;Grewia;Grewia;pinnatifida;4,5;1,7;1;
07/03/2018;2 ouest;198;180a;Drypetes;Drypetes;capillipes;2,5;4,8;1;
07/03/2018;2 ouest;198;180b;Drypetes;Drypetes;c apillipes;2,5;4,8;1;
07/03/2018;2 ouest;198;181;Mokula;Microdesmis;puberula;3,4;1,8;1;
07/03/2018;2 ouest;198;182;Akeul;Pausynistalia;macroceras;2;1,4;1;
07/03/2018;2 ouest;198;183;Ingoka;Thomondersia;hensii;2,6;1,2;1;
07/03/2018;2 ouest;198;184;Mossebe;Hunteria;ballayi;3;2,4;1;
07/03/2018;2 ouest;198;185;Akeul;Pausynistalia;macroceras;2,5;2,1;1;
07/03/2018;2 ouest;198;186;Toko loko ;Tabernaemonthana;penduliflora;1,9;1,6;1;
07/03/2018;2 ouest;198;187;Moungamba;Dichostemma;glauscescens;3,1;2,2;1;
07/03/2018;2 ouest;198;188;Kotibe;Nesogordonia;kabingaensis;5,3;4,5;1;
07/03/2018;2 ouest;198;189;;Radlkofera;calodendron;6;6,9;1;
07/03/2018;2 ouest;198;190;Mossebe;Hunteria;ballayi;2;1,1;1;
07/03/2018;2 ouest;198;191;Mokula;Microdesmis;puberula;3,8;2,5;1;
07/03/2018;2 ouest;198;192;Crabwood;Carapa;procera;5,1;4,9;1;
07/03/2018;2 ouest;198;193;Nsangoma;Allamblackia;floribunda;4,5;5;1;
07/03/2018;2 ouest;198;194;Crabwood;Carapa;procera;3;2,1;1;
07/03/2018;2 ouest;198;195;Toko loko ;Tabernaemonthana;penduliflora;2,5;1,4;1;
07/03/2018;2 ouest;198;196;Garcinia;Garcinia;punctata;2,5;1,2;1;
07/03/2018;2 ouest;198;197;Moungamba;Dichostemma;glauscescens;5,1;4;1;
07/03/2018;2 ouest;198;198;Mossebe;Hunteria;ballayi;2;1,9;1;
07/03/2018;2 ouest;198;199;Mossebe;Hunteria;ballayi;2,6;1,6;1;
07/03/2018;2 ouest;198;200;Mokula;Microdesmis;puberula;4,5;5,3;1;
07/03/2018;2 ouest;198;201;Drypetes;Drypetes;occidentalis;4,5;2,2;1;
07/03/2018;2 ouest;198;202;Mokula;Microdesmis;puberula;4,5;1,9;1;
07/03/2018;2 ouest;198;203;Drypetes;Drypetes;capillipes;4,6;2,9;1;
07/03/2018;2 ouest;198;204;Drypetes;Drypetes;cinnabarina;5,2;5,7;1;
07/03/2018;2 ouest;198;205;Mokula;Microdesmis;puberula;2;2,3;1;
07/03/2018;2 ouest;198;206;Mossebe;Hunteria;ballayi;2;1,3;1;
07/03/2018;2 ouest;198;207a;Ingoka;Thomondersia;hensii;6;6,7;1;
07/03/2018;2 ouest;198;207b;Ingoka;Thomondersia;hensii;5,4;4;1;
07/03/2018;2 ouest;198;207c;Ingoka;Thomondersia;hensii;3,5;1,1;1;
07/03/2018;2 ouest;198;208;Ohia;Celtis;mildbraedii;7;5,5;1;
07/03/2018;2 ouest;198;209;Mokula;Microdesmis;puberula;4,9;4,5;1;
07/03/2018;2 ouest;198;210;Baku;Ritchiea;aprevaliana;3;1,2;1;
07/03/2018;2 ouest;198;211;Mokula;Microdesmis;puberula;4,9;3,5;1;
07/03/2018;2 ouest;198;212;Moungamba;Dichostemma;glauscescens;2,8;1;1;
07/03/2018;2 ouest;198;213;Nom ozek;Ruassia;silvestris;6,1;9,5;1;
07/03/2018;2 ouest;198;214;Mokula;Microdesmis;puberula;4,5;3,5;1;
07/03/2018;2 ouest;198;215;Ingoyo;Pancovia;laurentii;3;1,3;1;
07/03/2018;2 ouest;198;216a;Ingoka;Thomondersia;hensii;5,9;5,8;1;
07/03/2018;2 ouest;198;216b;Ingoka;Thomondersia;hensii;5;6,4;1; 
07/03/2018;2 ouest;198;216c;Ingoka;Thomondersia;hensii;5,9;5,7;1;
07/03/2018;2 ouest;198;217;Nsangoma;Allamblackia;floribunda;3,5;1,9;1;
07/03/2018;2 ouest;198;218;Moungamba;Dichostemma;glauscescens;2,5;1,2;1;
07/03/2018;2 ouest;198;219;Mossebe;Hunteria;ballayi;1,9;1,1;1;
07/03/2018;2 ouest;198;220;;Radlkofera;calodendron;5,1;3,6;1;
07/03/2018;2 ouest;198;221;Ingoyo;Pancovia;harsiana;3,9;3;1;
07/03/2018;2 ouest;198;222;Mokula;Microdesmis;puberula;3;2,2;1;
07/03/2018;2 ouest;198;223;Toko loko ;Tabernaemonthana;penduliflora;6,1;7,1;1;
07/03/2018;2 ouest;198;224;Garcinia;Garcinia;punctata;3;1,4;1;
07/03/2018;2 ouest;198;225;Tiama;Entandrophargma;angolense;8;9,7;1;
07/03/2018;2 ouest;198;226;Drypetes;Drypetes;capillipes;4;3,7;1;
07/03/2018;2 ouest;198;227;baku;Ritchiea;aprevaliana;2,5;1,4;1;
07/03/2018;2 ouest;198;228;Drypetes;Drypetes;cinnabarina;2,5;1,3;1;
07/03/2018;2 ouest;198;229;Toko loko ;Tabernaemonthana;penduliflora;2,8;1,1;1;
07/03/2018;2 ouest;198;230;Drypetes;Drypetes;paxii;5,2;2,8;1;
07/03/2018;2 ouest;198;231;Bekoa bizombo;Angylocalyx;pynaertii;3,5;2;1;
07/03/2018;2 ouest;198;232;Mokula;Microdesmis;puberula;1,8;2,2;1;
07/03/2018;2 ouest;198;233;Ebene;Diospyros;bipindensis;3;1,2;1;
07/03/2018;2 ouest;198;234;Ingoyo;Pancovia;harsiana;3;1,5;1;
07/03/2018;2 ouest;198;235;;Cassipourea;sp;8,5;6,8;1;
07/03/2018;2 ouest;198;236;Dialium;Dialium;pachyphyllum;3;1;1;
07/03/2018;2 ouest;198;237;Drypetes;Drypetes;laciniata;4,9;2,7;1;
07/03/2018;2 ouest;198;238;Ebene;Diospyros;bipindensis;3;1;1;
07/03/2018;2 ouest;198;239;Drypetes;Drypetes;leonensis;2,8;1,5;1;
07/03/2018;2 ouest;198;240;Mossebe;Hunteria;ballayi;2;2,2;1;
07/03/2018;2 ouest;198;241;;Cassipourea;sp;1,9;4,3;1;
07/03/2018;2 ouest;198;242;Toko loko ;Tabernaemonthana;penduliflora;3;4,2;1;
07/03/2018;2 ouest;198;243;Ebene;Diospyros;bipindensis;4,5;2,1;1;
07/03/2018;2 ouest;198;244;Kotibe;Nesogordonia;kabingaensis;2;1;1;
07/03/2018;2 ouest;198;245;;Radlkofera;calodendron;2,9;3,1;1;
07/03/2018;2 ouest;198;246;;Aidia;micrantha;2,8;1,5;1;
07/03/2018;2 ouest;198;247;Drypetes;Drypetes;diopa;2,9;2,4;1;
07/03/2018;2 ouest;198;248;Mossebe;Hunteria;ballayi;2,5;1,1;1;
07/03/2018;2 ouest;198;249;Baku;Ritchiea;aprevaliana;2,9;1,8;1;
07/03/2018;2 ouest;198;250;Mossebe;Hunteria;ballayi;2,5;1,4;1;
07/03/2018;2 ouest;198;251;Toko loko ;Tabernaemonthana;penduliflora;2,6;1,5;1;
07/03/2018;2 ouest;198;252;Mokula;Microdesmis;puberula;4,6;3,1;1;
07/03/2018;2 ouest;198;253;Mossebe;Hunteria;ballayi;1,9;1,1;1;
07/03/2018;2 ouest;198;254;Drypetes;Drypetes;diopa;5,1;5,5;1;
